LicenseNumber,FacilityName,DBA,FacilityType,City,ZipCode,DateUpdated
402R-00024,TREATMENTS UNLIMITED LLC,ALTITUDE EAST,Retail Marijuana Store,Denver,80224,2020-12-01
402R-00026,DKC LLC,DENVER KUSH CLUB,Retail Marijuana Store,Denver,80205,2020-12-01
402R-00027,ALTERNATIVE MEDICINE ON THE MALL LLC,NATIVE ROOTS SPEER,Retail Marijuana Store,Denver,80203,2020-12-01
402R-00031,SWEETWATER PARTNERS LLC,GOOD CHEMISTRY,Retail Marijuana Store,Denver,80203,2020-12-01
402R-00032,SWEETWATER PARTNERS LLC,GOOD CHEMISTRY,Retail Marijuana Store,Denver,80210,2020-12-01
402R-00033,CHOICE ORGANICS INC,,Retail Marijuana Store,Fort Collins,80524,2020-12-01
402R-00034,FUTUREVISION LTD,MEDICINE MAN,Retail Marijuana Store,Denver,80239,2020-12-01
402R-00030,NATURES CURE III LLC,THE COLFAX POT SHOP,Retail Marijuana Store,Denver,80218,2020-12-01
402R-00035,IDAHO SPRINGS LLC,BONFIRE CANNABIS,Retail Marijuana Store,Idaho Springs,80452,2020-12-01
402R-00037,LIGHTSHADE LABS LLC,LIGHTSHADE,Retail Marijuana Store,Denver,80222,2020-12-01
402R-00038,DP RETAIL 101 LLC,GREEN DRAGON COLORADO,Retail Marijuana Store,Denver,80223,2020-12-01
402R-00039,DOCTORS ORDERS LLC,DOCTORS ORDERS,Retail Marijuana Store,Denver,80211,2020-12-01
402R-00040,ASCEND II LLC,ASCEND II,Retail Marijuana Store,Denver,80237,2020-12-01
402R-00041,URBAN CANNABIS II LLC,HEALING HOUSE ,Retail Marijuana Store,Denver,80210,2020-12-01
402R-00042,HIGHLANDS WELLNESS CENTER LLC,THE CLINIC HIGHLANDS,Retail Marijuana Store,Denver,80211,2020-12-01
402R-00043,PIONEER INTERESTS SHERIDAN LLC,LOVA EDGEWATER,Retail Marijuana Store,Edgewater,80214,2020-12-01
402R-00044,RD INDUSTRIES II LLC,HOUSE OF DANKNESS,Retail Marijuana Store,Denver,80239,2020-12-01
402R-00045,MILE HIGH MEDICAL CANNABIS LLC,LIT,Retail Marijuana Store,Denver,80204,2020-12-01
402R-00047,4625 E COLFAX LLC,THE CLINIC ON COLFAX,Retail Marijuana Store,Denver,80220,2020-12-01
402R-00048,2251SB LLC,APOTHECARY FARMS,Retail Marijuana Store,Denver,80210,2020-12-01
402R-00049,RJJ MORRISON II LLC,NATIVE ROOTS COLORADO BLVD,Retail Marijuana Store,Denver,80246,2020-12-01
402R-00050,BUD MED HEALTH CENTERS LLC,LIVE GREEN CANNABIS,Retail Marijuana Store,Edgewater,80214,2020-12-01
402R-00052,NATURES HERBS & WELLNESS CENTER,NATURES HERBS & WELLNESS CENTER,Retail Marijuana Store,Garden City,80631,2020-12-01
402R-00053,BOTANICO INC,,Retail Marijuana Store,Denver,80205,2020-12-01
402R-00054,DJR COLORADO LLC,HIGH LEVEL HEALTH,Retail Marijuana Store,Denver,80202,2020-12-01
402R-00055,A CUT OFF THE TOP MEDICAL MARIJUANA LLC,,Retail Marijuana Store,Denver,80204,2020-12-01
402R-00056,JS INVESTMENTS LLC,EUFLORA,Retail Marijuana Store,Denver,80202,2020-12-01
402R-00058,MILE HIGH MEDICAL CANNABIS LLC,LIT,Retail Marijuana Store,Denver,80210,2020-12-01
402R-00046,DP RETAIL 112 LLC,GREEN DRAGON COLORADO,Retail Marijuana Store,Denver,80220,2020-12-01
402R-00060,DENCO LLC,,Retail Marijuana Store,Denver,80216,2020-12-01
402R-00062,GOLDEN MEDS MERGERCO LLC,GOLDEN MEDS,Retail Marijuana Store,Denver,80239,2020-12-01
402R-00063,MARISOL THERAPEUTICS LLC,,Retail Marijuana Store,Pueblo West,81007,2020-12-01
402R-00064,BELLFLOWER LLC,ORGANIX,Retail Marijuana Store,Breckenridge,80424,2020-12-01
402R-00065,SERENE WELLNESS LLC,,Retail Marijuana Store,Empire,80438,2020-12-01
402R-00066,URBAN CANNABIS II LLC,GREEN GRASS,Retail Marijuana Store,Central City,80427,2020-12-01
402R-00070,COMPASSIONATE CARE GIVERS INC,ROCKY MOUNTAIN HIGH,Retail Marijuana Store,Denver,80202,2020-12-01
402R-00071,KAZIMER LLC,ROCKY MOUNTAIN  HIGH,Retail Marijuana Store,Denver,80216,2020-12-01
402R-00068,COMPASSIONATE CARE GIVERS INC,CANNABIS STATION,Retail Marijuana Store,Denver,80202,2020-12-01
402R-00069,COMPASSIONATE CARE GIVERS INC,ROCKY MOUNTAIN HIGH,Retail Marijuana Store,Denver,80223,2020-12-01
402R-00780,THE GREEN SOLUTION LLC,,Retail Marijuana Store,Aspen,81611,2020-12-01
402R-00072,CMED LLC,ROCKY MOUNTAIN HIGH,Retail Marijuana Store,Carbondale,81623,2020-12-01
402R-00078,HIGH COUNTRY SUPPLY LLC,COLORADO HARVEST COMPANY,Retail Marijuana Store,Denver,80210,2020-12-01
402R-00079,HOLLY MEDICINAL SERVICES LLC,THE CLINIC ON COLORADO ,Retail Marijuana Store,Denver,80222,2020-12-01
402R-00076,MAGNA MARKETING INC,HERBS 4 YOU,Retail Marijuana Store,Denver,80203,2020-12-01
402R-00077,HIGH COUNTRY SUPPLY LLC,COLORADO HARVEST COMPANY,Retail Marijuana Store,Denver,80223,2020-12-01
402R-00073,LIGHTSHADE LABS LLC,LIGHTSHADE,Retail Marijuana Store,Denver,80207,2020-12-01
402R-00075,BUD BUM LLC,BUD BUM,Retail Marijuana Store,Denver,80223,2020-12-01
402R-00074,BRECKENRIDGE INVESTMENTS LLC,ALPENGLOW,Retail Marijuana Store,Breckenridge,80424,2020-12-01
402R-00085,LIVWELL X LLC,LIVWELL,Retail Marijuana Store,Denver,80220,2020-12-01
402R-00086,DP RETAIL 115 LLC,GREEN DRAGON COLORADO,Retail Marijuana Store,Denver,80206,2020-12-01
402R-00081,1617 WAZEE STREET LLC,LODO WELLNESS CENTER,Retail Marijuana Store,Denver,80202,2020-12-01
402R-00082,DISCOUNT MEDICAL MARIJUANA LLC,HIGH LEVEL HEALTH,Retail Marijuana Store,Denver,80206,2020-12-01
402R-00083,DISCOUNT MEDICAL MARIJUANA LLC,HIGH LEVEL HEALTH,Retail Marijuana Store,Denver,80203,2020-12-01
402R-00084,DENVER DISPENSARY LLC,DENVER DISPENSARY,Retail Marijuana Store,Denver,80216,2020-12-01
402R-00087,TIMBERLINE HERBAL CLINIC AND WELLNESS CENTER LLC,TIMBERLINE HERBAL CLINIC AND WELLNESS CENTER LLC,Retail Marijuana Store,Denver,80216,2020-12-01
402R-00091,ALPINE WELLNESS LLC,ALPINE WELLNESS,Retail Marijuana Store,Telluride,81435,2020-12-01
402R-00092,HCH2 LLC,,Retail Marijuana Store,Alma,80420,2020-12-01
402R-00094,DP RETAIL 104 LLC,GREEN DRAGON COLORADO,Retail Marijuana Store,Edgewater,80214,2020-12-01
402R-00102,METRO CANNABIS INC,SILVER STEM FINE CANNABIS,Retail Marijuana Store,Denver,80220,2020-12-01
402R-00095,TZ FINANCIAL LLC,HIGH COUNTRY HEALING,Retail Marijuana Store,Silverthorne,80498,2020-12-01
402R-00096,E2T2 LLC,COOKIES BROADWAY,Retail Marijuana Store,Denver,80210,2020-12-01
402R-00098,MEDICINAL WELLNESS CENTER LLC,OASIS CANNABIS SUPERSTORE,Retail Marijuana Store,Mountain View,80212,2020-12-01
402R-00099,MEDICINAL WELLNESS CENTER LLC,OASIS CANNABIS SUPERSTORE,Retail Marijuana Store,Denver,80222,2020-12-01
402R-00100,WANNA LLC,NORTHERN LIGHTS CANNABIS CO,Retail Marijuana Store,Denver,80223,2020-12-01
402R-00101,SOLACE MEDS BROADWAY LLC,,Retail Marijuana Store,Denver,80210,2020-12-01
402R-00103,GANJA GOURMET LLC,GANJA GOURMET,Retail Marijuana Store,Denver,80210,2020-12-01
402R-00108,JEM DUTCH ACRES LLC,EARLS,Retail Marijuana Store,Leadville,80461,2020-12-01
402R-00104,DELTA-9 DELIGHTS LLC,REEFER MADNESS,Retail Marijuana Store,Denver,80216,2020-12-01
402R-00105,HG LTD,HIGHER GRADE,Retail Marijuana Store,Denver,80204,2020-12-01
402R-00106,LIGHTSHADE LABS LLC,LIGHTSHADE,Retail Marijuana Store,Denver,80247,2020-12-01
402R-00107,DP RETAIL 106 LLC,GREEN DRAGON COLORADO,Retail Marijuana Store,Breckenridge,80424,2020-12-01
402R-00121,GM SANTA FE LLC,GOLDEN MEDS,Retail Marijuana Store,Denver,80223,2020-12-01
402R-00111,GREEN KIWI 2 LLC,LIVWELL,Retail Marijuana Store,Denver,80249,2020-12-01
402R-00112,GREEN KIWI 2 LLC,LIVWELL,Retail Marijuana Store,Denver,80203,2020-12-01
402R-00113,THE GIVING TREE OF DENVER LLC,,Retail Marijuana Store,Denver,80211,2020-12-01
402R-00115,IGADI LTD,IGADI,Retail Marijuana Store,Idaho Springs,80452,2020-12-01
402R-00116,O LIMITED,SILVER STEM FINE CANNABIS,Retail Marijuana Store,Nederland,80466,2020-12-01
402R-00122,HIGH PLAINZ STRAINS II LLC,,Retail Marijuana Store,Garden City,80631,2020-12-01
402R-00123,PUEBLO WEST ORGANICS LLC,PUEBLO WEST ORGANICS,Retail Marijuana Store,Pueblo West,81007,2020-12-01
402R-00124,TUMBLEWEED FRISCO LLC,TUMBLEWEED FRISCO,Retail Marijuana Store,Frisco,80443,2020-12-01
402R-00125,RIVERROCK LLC,RIVERROCK,Retail Marijuana Store,Denver,80216,2020-12-01
402R-00126,CURE MEDICAL PHARM INC,RIVERROCK,Retail Marijuana Store,Denver,80204,2020-12-01
402R-00130,ALTITUDE WELLNESS CENTER LLC,NATURE'S HERBS AND WELLNESS DTC,Retail Marijuana Store,Denver,80231,2020-12-01
402R-00127,GATSBY HOLDINGS LLC,BILLO,Retail Marijuana Store,Steamboat Springs,80487,2020-12-01
402R-00131,GEORGE TOWN CANNABIS INC,ROCKY MOUNTAIN CANNABIS,Retail Marijuana Store,Georgetown,80444,2020-12-01
402R-00136,TUMBLEWEED STEAMBOAT LLC,RK ENTERPRISES ,Retail Marijuana Store,Steamboat Springs,80487,2020-12-01
402R-00132,BOTANACARE LLC,BGOOD,Retail Marijuana Store,Northglenn,80234,2020-12-01
402R-00133,SUMMIT WELLNESS,DEN REC DENVER RECREATIONAL DISPENSARY,Retail Marijuana Store,Denver,80205,2020-12-01
402R-00134,TELLURIDE GREEN ROOM LLC,TELLURIDE GREEN ROOM,Retail Marijuana Store,Telluride,81435,2020-12-01
402R-00135,JOIS LLC,SILVER STEM FINE CANNABIS,Retail Marijuana Store,Denver,80236,2020-12-01
402R-00137,SILVERPEAK CORP,THE DAB BY SILVERPEAK - ORIGINAL,Retail Marijuana Store,Denver,80219,2020-12-01
402R-00138,COLORADO PRODUCT SERVICES LLC,DOUBLE BLACK,Retail Marijuana Store,Carbondale,81623,2020-12-01
402R-00142,ARES STRATEGIES INC,TERRAPIN CARE STATION,Retail Marijuana Store,Denver,80203,2020-12-01
402R-00148,MAKENA UNLIMITED LLC,,Retail Marijuana Store,Denver,80210,2020-12-01
402R-00144,CO-AGRONOMICS LLC,THE GREEN DEPOT,Retail Marijuana Store,Denver,80210,2020-12-01
402R-00145,TRI CITY PARTNERS LLC,STRAWBERRY FIELDS,Retail Marijuana Store,Dumont,80436,2020-12-01
402R-00139,THE HERBAL CURE LLC,,Retail Marijuana Store,Denver,80209,2020-12-01
402R-00140,SILVERPEAK CORP,,Retail Marijuana Store,Aspen,81611,2020-12-01
